FIPS,YEAR,IR-WFrTo
27079,2015,0.47
27081,2015,0.15
27083,2015,0.19
27085,2015,0.10
27087,2015,0.09
27089,2015,0.06
27091,2015,0.11
27093,2015,2.43
27095,2015,0.20
27097,2015,12.26
27099,2015,1.00
27101,2015,0.03
27103,2015,0.14
27105,2015,0.17
27107,2015,0.28
27109,2015,0.23
27111,2015,49.69
27113,2015,0.47
27115,2015,0.13
27117,2015,0.29
27119,2015,6.39
27121,2015,20.31
27123,2015,0.91
27125,2015,1.32
27127,2015,0.21
27129,2015,0.26
27131,2015,0.68
27133,2015,0.12
27135,2015,0.02
27137,2015,0.23
27139,2015,0.40
27141,2015,18.36
27143,2015,0.05
27145,2015,17.61
27147,2015,0.28
27149,2015,5.01
27151,2015,13.94
27153,2015,7.46
27155,2015,0.00
27157,2015,0.41
