StateID,Year,Yieldkgha,areaMha,NUE_wheat
51,2013,3891.74,0.116,0.860107689
51,2014,4268.36,0.104,0.970333231
51,2015,4142.82,0.084,0.855127695
53,2010,4331.13,0.688,0.929000922
53,2011,4644.98,0.692,0.991948376
53,2012,4393.9,0.668,0.932569095
53,2013,4331.13,0.668,0.922861356
53,2014,3264.04,0.656,0.704589097
53,2015,3515.12,0.636,0.768274594
54,2010,3389.58,0.002,0.852040052
54,2011,3703.43,0.0024,0.52852565
54,2012,4080.05,0.0016,0.77339684
54,2013,3264.04,0.0028,0.870964189
54,2014,4017.28,0.0028,1.010678301
54,2015,3766.2,0.0016,0.680218166
55,2010,4017.28,0.092,1.091939411
55,2011,4080.05,0.134,1.019622862
55,2012,4707.75,0.098,1.14626549
55,2013,3640.66,0.106,0.88696111
55,2014,4080.05,0.1,0.959911808
55,2015,4644.98,0.084,1.096348119
56,2010,2008.64,0.052,0.481795746
56,2011,2134.18,0.052,0.479138811
56,2012,1632.02,0.046,0.471451655
56,2013,1506.48,0.048,0.421075668
56,2014,2385.26,0.05,0.697448102
56,2015,2008.64,0.052,0.557885319
